order_id,order_timestamp,customer_id,sku,category,channel,price_usd,qty,discount_pct,status,city,state,country,order_amount_usd
O100915,2025-06-01 00:35:51,C0265,S-L6SS1A,Beauty,Email,20.86,4,0.13,returned,San Francisco,CA,USA,72.59
O100256,2025-06-01 00:44:49,C0170,S-QRU54D,Sports,Social,49.17,4,0.28,completed,New York,NY,USA,141.61
O101026,2025-06-01 01:20:00,C0286,S-ZSB6ZW,Electronics,Search,74.22,5,0.18,completed,Los Angeles,CA,USA,304.3
O100270,2025-06-01 01:32:13,C0390,S-C79FLV,Beauty,Social,49.63,1,0.11,completed,Chicago,IL,USA,44.17
O100772,2025-06-01 03:34:05,C0286,S-4BF5L0,Apparel,Social,37.79,5,0.02,completed,Seattle,WA,USA,185.17
O100572,2025-06-01 05:36:27,C0101,S-WD3KPU,Electronics,Marketplace,118.89,3,0.17,processing,Phoenix,AZ,USA,296.04
O100766,2025-06-01 09:40:14,C0036,S-QO2LNG,Electronics,Social,406.47,4,0.07,completed,New York,NY,USA,1512.07
O100946,2025-06-01 10:34:52,C0021,S-KTI221,Home,Search,114.22,5,0.16,processing,San Francisco,CA,USA,479.72
O101112,2025-06-01 10:44:14,C0155,S-MXD6LQ,Electronics,Search,120.44,4,0.23,completed,Boston,MA,USA,370.96
O100995,2025-06-01 11:25:53,C0066,S-35QBB3,Home,Direct,48.67,3,0.06,completed,Chicago,IL,USA,137.25
O101460,2025-06-01 14:33:12,C0083,S-025LOX,Home,Direct,78.6,1,0.27,completed,Austin,TX,USA,57.38
O100530,2025-06-01 15:44:45,C0199,S-0Z4EVL,Electronics,Direct,163.5,1,0.26,completed,Denver,CO,USA,120.99
O101097,2025-06-01 16:55:43,C0186,S-ALDNJ7,Home,Search,34.49,1,0.18,completed,Boston,MA,USA,28.28
O100432,2025-06-01 17:21:16,C0117,S-2KUUOY,Electronics,Affiliate,113.57,5,,completed,New York,NY,USA,567.85
O100088,2025-06-01 17:24:43,C0151,S-KNFTU2,Electronics,Search,86.22,3,,returned,Phoenix,AZ,USA,258.66
O100712,2025-06-01 18:42:37,C0270,S-YZSILU,Beauty,Direct,21.26,5,0.11,completed,Denver,CO,USA,94.61
O101439,2025-06-01 19:25:14,C0235,S-8EQE12,Apparel,Search,23.17,4,0.07,completed,Chicago,IL,USA,86.19
O101453,2025-06-01 20:05:07,C0480,S-ODF76I,Apparel,Search,18.17,2,0.03,cancelled,New York,NY,USA,35.25
O100468,2025-06-01 20:20:22,C0473,S-E6A9HL,Beauty,Marketplace,15.11,1,0.0,completed,Los Angeles,CA,USA,15.11
O101318,2025-06-01 20:47:10,C0485,S-TV1DJJ,Beauty,Direct,57.2,4,0.35,completed,Austin,TX,USA,148.72
O100827,2025-06-01 20:52:23,C0046,S-8PIJKE,Apparel,Email,51.41,1,0.12,completed,New York,NY,USA,45.24
O100115,2025-06-01 21:08:35,C0355,S-J17MGF,Home,Search,34.47,1,,completed,San Francisco,CA,USA,34.47
O101069,2025-06-01 22:07:57,C0440,S-WBQH5T,Beauty,Search,17.23,3,0.14,processing,Phoenix,AZ,USA,44.45
O100993,2025-06-01 23:23:26,C0179,S-POAU8P,Beauty,Social,11.91,5,0.04,completed,Seattle,WA,USA,57.17
O100387,2025-06-02 00:55:01,C0445,S-06MOXS,Electronics,Search,86.15,5,0.0,returned,Seattle,WA,USA,430.75
O101458,2025-06-02 01:05:31,C0413,S-EYEB90,Beauty,Social,26.58,4,0.22,completed,Seattle,WA,USA,82.93
O100151,2025-06-02 01:26:34,C0225,S-LKQZFP,Apparel,Social,57.41,3,0.0,cancelled,Phoenix,AZ,USA,172.23
O101047,2025-06-02 01:30:11,C0113,S-YXV2ME,Apparel,Email,39.01,3,,completed,Boston,MA,USA,117.03
O100046,2025-06-02 01:51:51,C0339,S-0RJIW1,Home,Social,43.92,5,0.12,completed,,NY,USA,193.25
O100455,2025-06-02 02:48:52,C0066,S-I9212P,Electronics,Social,40.49,2,0.26,completed,Austin,TX,USA,59.93
O100636,2025-06-02 05:10:33,C0073,S-MALQ5U,Sports,Search,69.63,3,,completed,Phoenix,AZ,USA,208.89
O101299,2025-06-02 06:04:52,C0357,S-KOXHJM,Electronics,Search,45.23,5,0.18,cancelled,Chicago,IL,USA,185.44
O100903,2025-06-02 08:11:28,C0309,S-ZIA9AU,Sports,Marketplace,47.42,1,,completed,Miami,FL,USA,47.42
O101128,2025-06-02 08:49:56,C0430,S-YJMK3T,Electronics,Direct,148.99,1,0.16,completed,Miami,FL,USA,125.15
O100193,2025-06-02 09:19:18,C0466,S-OTQTXH,Electronics,Social,81.65,5,0.13,returned,New York,NY,USA,355.18
O100741,2025-06-02 09:40:59,C0165,S-WY5APY,Home,Affiliate,110.78,2,0.05,completed,Denver,CO,USA,210.48
O101294,2025-06-02 10:07:27,C0421,S-5WFW5Q,Sports,Social,28.99,3,0.13,completed,New York,NY,USA,75.66
O100300,2025-06-02 10:31:02,C0290,S-Y72IVG,Electronics,Social,156.69,1,0.07,completed,San Francisco,CA,USA,145.72
O100818,2025-06-02 11:40:48,C0270,S-7XNCML,Electronics,Direct,72.13,1,0.15,completed,Austin,TX,USA,61.31
O100051,2025-06-02 11:47:51,C0362,S-9T6VXD,Apparel,Affiliate,24.43,1,0.14,completed,Chicago,IL,USA,21.01
O100154,2025-06-02 12:00:54,C0150,S-FQNPCE,Apparel,Direct,20.66,5,0.2,completed,New York,NY,USA,82.64
O100968,2025-06-02 13:44:29,C0109,S-JKCU5X,Beauty,Search,22.52,3,0.0,completed,Boston,MA,USA,67.56
O101491,2025-06-02 17:00:30,C0389,S-RR6CG1,Home,Social,55.36,3,,completed,Boston,MA,USA,166.08
O100929,2025-06-02 17:20:30,C0374,S-D6M1FM,Apparel,Email,54.62,5,,completed,Austin,TX,USA,273.1
O101485,2025-06-02 17:46:43,C0195,S-5ITMTJ,Apparel,Search,26.81,2,0.11,completed,Denver,CO,USA,47.72
O101296,2025-06-02 20:09:37,C0290,S-BCLTRH,Sports,Social,39.59,2,0.0,completed,Chicago,IL,USA,79.18
O101373,2025-06-02 22:33:12,C0333,S-KVYGW2,Beauty,Social,27.97,3,0.18,completed,Miami,FL,USA,68.81
O100747,2025-06-02 23:48:45,C0144,S-C2BVPD,Electronics,Search,125.53,1,0.17,returned,Denver,CO,USA,104.19
O100916,2025-06-03 00:12:58,C0030,S-KFQ5DZ,Sports,Affiliate,31.6,1,0.07,completed,Austin,TX,USA,29.39
O100646,2025-06-03 01:38:17,C0437,S-2JTXB0,Beauty,Search,34.54,1,,cancelled,Miami,FL,USA,34.54
O101486,2025-06-03 01:46:59,C0333,S-R4F2ZD,Electronics,Direct,74.36,5,0.08,completed,Los Angeles,CA,USA,342.06
O100764,2025-06-03 02:31:50,C0100,S-XH6QIH,apparel,Direct,21.93,5,0.14,completed,Miami,FL,USA,94.3
O100475,2025-06-03 04:16:08,C0047,S-DS1EEU,Apparel,Social,31.58,2,0.19,completed,Phoenix,AZ,USA,51.16
O100037,2025-06-03 05:52:26,C0231,S-P9E6GB,Apparel,Email,28.08,5,0.04,completed,Seattle,WA,USA,134.78
O100727,2025-06-03 06:47:07,C0046,S-IVISS8,Electronics,Direct,70.14,1,0.16,completed,New York,NY,USA,58.92
O100861,2025-06-03 06:53:16,C0201,S-S8PNNE,Sports,Search,31.5,5,0.16,completed,New York,NY,USA,132.3
